DATE,PRICE,OPEN,HIGH,LOW,VOLUME,CHANGE(%)
27 Dec 2024,799.65,816.30,818.30,797.20,10649800,-1.58%
26 Dec 2024,812.45,813.00,822.85,808.00,8318714,0.05%
24 Dec 2024,812.05,824.25,826.20,809.20,10602771,-1.11%
23 Dec 2024,821.15,817.30,824.00,812.20,4933200,1.13%
20 Dec 2024,812.00,834.90,836.00,810.00,10244198,-2.50%
19 Dec 2024,832.80,824.60,838.00,820.20,9453398,-0.64%
18 Dec 2024,838.15,851.00,852.00,837.00,8295338,-1.46%
17 Dec 2024,850.55,858.55,862.60,847.05,8791216,-1.21%
16 Dec 2024,860.95,859.80,866.40,857.80,6432713,-0.07%
13 Dec 2024,861.55,852.60,862.90,835.00,9379370,0.92%
12 Dec 2024,853.70,861.50,864.30,851.15,8845103,-0.92%
11 Dec 2024,861.60,867.50,869.85,860.95,7006973,-0.68%
10 Dec 2024,867.50,861.80,868.95,858.05,7379849,1.10%
09 Dec 2024,858.05,859.00,866.85,856.95,9630346,-0.65%
06 Dec 2024,863.65,865.25,875.45,857.00,14520568,-0.21%
05 Dec 2024,865.45,860.00,871.45,855.60,14716036,0.67%
04 Dec 2024,859.70,853.95,864.00,850.30,10749716,0.67%
03 Dec 2024,853.95,838.00,856.60,836.90,12186182,2.10%
02 Dec 2024,836.40,838.95,842.00,832.70,6651119,-0.30%
29 Nov 2024,838.95,841.10,844.05,831.55,10822949,0.01%
28 Nov 2024,838.85,834.10,845.80,830.50,13505677,0.57%
27 Nov 2024,834.10,838.50,842.50,832.10,8375108,-0.63%
26 Nov 2024,839.40,844.00,846.70,835.55,8893744,-0.60%
25 Nov 2024,844.45,827.00,849.60,825.65,23434605,3.48%
22 Nov 2024,816.05,786.00,819.95,784.05,20665405,4.52%
21 Nov 2024,780.75,798.50,798.50,761.55,29486577,-2.77%
19 Nov 2024,803.00,819.00,820.30,800.10,13677029,-1.39%
18 Nov 2024,814.30,811.00,816.70,799.25,9322451,1.25%
14 Nov 2024,804.25,808.65,818.00,801.05,9461484,-0.54%
13 Nov 2024,808.65,823.35,831.75,804.65,13756706,-2.18%
12 Nov 2024,826.70,852.50,853.40,824.30,11350729,-2.47%
11 Nov 2024,847.65,846.00,854.00,842.00,12621337,0.53%
08 Nov 2024,843.15,859.60,863.50,834.20,26139105,-1.91%
07 Nov 2024,859.60,861.00,862.40,846.70,15283847,0.56%
06 Nov 2024,854.80,849.20,861.40,846.20,15002433,0.66%
05 Nov 2024,849.20,829.85,851.40,826.25,26254561,2.33%
04 Nov 2024,829.85,822.70,837.50,807.10,14498161,1.05%
01 Nov 2024,821.20,822.40,825.60,818.90,1637141,0.12%
31 Oct 2024,820.20,820.00,828.00,813.55,13402324,-0.27%
30 Oct 2024,822.45,828.00,833.00,821.05,15977682,-1.23%
29 Oct 2024,832.70,796.00,834.85,790.50,28274791,5.13%
28 Oct 2024,792.05,783.80,803.95,783.55,13757251,1.42%
25 Oct 2024,780.95,798.00,800.75,772.00,9717125,-1.71%
24 Oct 2024,794.55,786.05,797.00,784.65,5607500,1.09%
23 Oct 2024,786.00,790.00,792.60,779.80,13866198,-0.56%
22 Oct 2024,790.40,814.00,816.85,787.50,16645356,-2.89%
21 Oct 2024,813.95,824.70,826.45,809.00,10359618,-0.79%
18 Oct 2024,820.40,811.10,822.60,802.90,11704698,1.15%
17 Oct 2024,811.05,809.50,819.50,806.00,18580553,0.70%
16 Oct 2024,805.45,802.80,809.00,802.05,6494240,0.10%
15 Oct 2024,804.65,805.50,807.50,801.60,6252104,-0.06%
14 Oct 2024,805.15,802.00,809.25,800.80,8967564,0.68%
11 Oct 2024,799.75,797.20,802.70,793.00,14322720,0.33%
10 Oct 2024,797.10,799.00,804.45,795.00,10241015,-0.04%
09 Oct 2024,797.40,786.70,804.35,782.05,18758697,2.04%
08 Oct 2024,781.45,772.25,784.40,772.25,8560960,1.40%
07 Oct 2024,770.65,800.00,804.00,765.40,24267990,-3.26%
04 Oct 2024,796.65,792.00,809.85,785.25,20097454,0.32%
03 Oct 2024,794.10,789.90,804.00,784.30,15944135,-0.36%
